id,slug,title,status,visible,species,category,product_type,price,compare_at_price,cost,margin_pct,cj_product_id,supplier_name,supplier_status,variant_count,stock,us_stock,eu_stock,cn_stock,effective_stock,warehouse,us_available,shipping_days,weight,image_count,description_chars,quality_score,seo_tier,indexable,dedupe_key,duplicate_risk,views_90d,atc_90d,units_sold,revenue,s_margin,s_us_stock,s_shipping,s_problem,s_differentiation,s_spec,s_visual,s_ugc,s_bundle,s_return_risk,s_supplier,score_total,hard_gates,blocking_gates,role,evidence,inference
e265e7fe-af60-4efc-b927-5c4f79fc1bf0,front-flip-door-dual-opening-anti-splashing-anti-tracking-odor-locking-cat-e265,Enclosed Cat Litter Box – Dual Opening Anti-Splash Odor-Locking for Cats,active,true,cat,Cat Litter Boxes,Pet Supplies > Cat Supplies > Litter > Litter Boxes,79.13,98.91,31.65,60,2022147992715550722,CJ Dropshipping,available,1,292,292,0,0,292,US,true,,2500,6,277,83,C,true,,none-detected,136,68,0,0,13,15,10,9,7,7,8,7,5,3,3,87,UNUSABLE_SHIPPING_PROMISE,0,HERO_CANDIDATE,"margin 60.0% (price 79.13, cost 31.65); stock us=292 eu=0 cn=0 effective=292; variant payload us=292 total=292; description 277 chars, quality_score=83; 6 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: odor, splash, litter; differentiators: dual, enclosed"
c882d898-5aaa-44eb-9d3e-d90d14f06ff0,extra-large-stainless-steel-cat-litter-box-for-big-cats-with-flip-cover-high-c882,Cat Litter Box – Extra Large Stainless Steel High-Sided Enclosure,active,true,cat,Cat Litter Boxes,Pet Supplies > Cat Supplies > Litter & Waste > Litter Boxes,141.07,176.34,56.43,60,2026478150193291265,CJ Dropshipping,unavailable,1,0,3,0,0,3,unknown,true,,,11,3412,83,C,true,,none-detected,7,0,0,0,11,12,10,9,10,9,8,7,5,4,2,87,UNUSABLE_SHIPPING_PROMISE,0,HERO_CANDIDATE,"margin 60.0% (price 141.07, cost 56.43); stock us=3 eu=0 cn=0 effective=3; variant payload us=30 total=30; description 3412 chars, quality_score=83; 11 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: odor, litter, scratch; differentiators: flip, enclosed, transparent; no weight on record — damage risk partly inferred; inventory sync stale or never run"
629487d6-e8c6-4e8e-b307-286c465e26c2,xl-stainless-steel-litter-box-w-100-flip-top-scoop-step-top-side-entry-enclosed-litter-box-for-big-c,Litter Box with Flip Top for Big Cat Convenience,active,true,cat,Cat Litter Boxes,Pet Supplies > Cat Supplies > Litter & Waste > Litter Boxes,119.99,149.99,68.78,42.7,1991251668946161665,CJ Dropshipping,unknown,1,68,68,0,0,68,US,true,,4700,9,2923,85,C,true,xl stainless steel litter box w 100 flip top scoop step top  side entry enclosed litter box for big cats,none-detected,20,0,0,0,8,15,10,9,10,9,8,7,5,3,3,87,UNUSABLE_SHIPPING_PROMISE,0,HERO_CANDIDATE,"margin 42.7% (price 119.99, cost 68.78); stock us=68 eu=0 cn=0 effective=68; variant payload us=298 total=298; description 2923 chars, quality_score=85; 9 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: odor, litter, scratch; differentiators: flip, dual, enclosed, transparent"
bc66f880-2330-4cbb-8097-712dc1150bca,fully-enclosed-cat-litter-box-with-front-entry-and-top-exit-plastic-gray-white," Fully Enclosed Cat Litter Box with Front Entry and Top Exit, Plastic, Gray & White",active,true,cat,Cat Litter Boxes,Pet Supplies > Cat Supplies > Litter Supplies > Litter Boxes,96.49,120.99,48.35,49.9,2003462073338146818,CJ Dropshipping,available,1,154,154,0,0,154,US,true,,3600,9,947,85,C,true,fully enclosed cat litter box with front entry and top exit plastic gray  white,none-detected,17,0,0,0,8,15,10,9,10,8,8,7,5,3,3,86,UNUSABLE_SHIPPING_PROMISE,0,HERO_CANDIDATE,"margin 49.9% (price 96.49, cost 48.35); stock us=154 eu=0 cn=0 effective=154; variant payload us=78 total=78; description 947 chars, quality_score=85; 9 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: odor, tracking, litter; differentiators: enclosed, hidden, furniture"
3eebf00e-d074-49f4-927c-9f68540de056,1set-wireless-electric-dog-fence-pet-shock-boundary-containment-system-electric-3eeb,Dog Training Collar – Wireless Electric Shock Boundary System for Dogs,inactive,false,dog,Dog Training,Pet Supplies > Dog Supplies > Training & Obedience > Electronic Training Systems,90.95,116.99,45.41,50.1,1948309886542639106,CJ Dropshipping,unknown,1,44,44,0,0,44,US,true,,354,15,4000,86,A,false,1set wireless electric dog fence pet shock boundary containment system electric training collar for small medium large dogs,none-detected,0,0,0,0,11,15,10,3,10,9,8,7,5,3,4,85,UNUSABLE_SHIPPING_PROMISE|INVENTORY_BLOCKED,1,CORE_CANDIDATE,"margin 50.1% (price 90.95, cost 45.41); stock us=44 eu=0 cn=0 effective=44; variant payload us=0 total=0; description 4000 chars, quality_score=86; 15 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: waterproof; differentiators: dual, furniture, automatic"
26f37d76-e7bf-4926-936b-a7b8fc34974c,covered-cat-litter-box-easy-cleaning-kitty-litter-box-with-front-entrance-top-exit-scoop-for-odor-co," Covered Cat Litter Box, Easy Cleaning Kitty Litter Box with Front Entrance, Top Exit, Scoop, for Odor Control, White",active,true,cat,Cat Litter Boxes,Pet Supplies > Cat Supplies > Litter & Housebreaking > Litter Boxes,98.99,121.99,56.65,42.8,2003461790080020482,CJ Dropshipping,unknown,1,147,147,0,0,147,US,true,,4000,9,1100,75,A,true,covered cat litter box easy cleaning kitty litter box with front entrance top exit scoop for odor control white,none-detected,24,2,0,0,8,15,10,10,7,8,8,7,5,3,3,84,UNUSABLE_SHIPPING_PROMISE,0,HERO_CANDIDATE,"margin 42.8% (price 98.99, cost 56.65); stock us=147 eu=0 cn=0 effective=147; variant payload us=110 total=110; description 1100 chars, quality_score=75; 9 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: odor, smell, tracking, litter; differentiators: enclosed, furniture"
b5f53c36-d5c3-4c87-a182-7ef80d56819a,51cm-large-fully-enclosed-top-entry-cat-litter-box-front-flip-door-dual-opening-b5f5,Top Entry Cat Litter Box – Enclosed Toilet with Front Flip Door & Odor Lock,inactive,false,cat,Cat Litter Boxes,Pet Supplies > Cat Supplies > Litter & Housebreaking > Cat Litter Box,76.63,95.79,30.65,60,2021409611962679298,CJ Dropshipping,unavailable,1,300,300,0,0,300,US,true,,,6,1570,90,C,false,,none-detected,0,0,0,0,13,15,8,6,7,9,8,7,5,4,2,84,UNUSABLE_SHIPPING_PROMISE,0,HERO_CANDIDATE,"margin 60.0% (price 76.63, cost 30.65); stock us=300 eu=0 cn=0 effective=300; variant payload us=5 total=5; description 1570 chars, quality_score=90; 6 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: odor, litter; differentiators: flip, enclosed; no weight on record — damage risk partly inferred; inventory sync stale or never run"
330c6662-b857-4a39-9441-b6f178ae7c0d,dome-covered-cat-litter-box-with-lid-white-and-orange," Dome Covered Cat Litter Box with Lid, White and Orange",active,true,cat,Cat Litter Boxes,Pet Supplies > Cat Supplies > Litter & Accessories > Litter Boxes,89.49,109.99,51.16,42.8,2003462158545432577,CJ Dropshipping,unknown,1,84,84,0,0,84,US,true,,3000,9,2471,85,C,true,dome covered cat litter box with lid white and orange,none-detected,28,0,0,0,8,15,10,9,7,9,8,7,5,3,3,84,UNUSABLE_SHIPPING_PROMISE,0,HERO_CANDIDATE,"margin 42.8% (price 89.49, cost 51.16); stock us=84 eu=0 cn=0 effective=84; variant payload us=179 total=179; description 2471 chars, quality_score=85; 9 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: odor, tracking, litter; differentiators: foldable, enclosed"
dfa39798-59f0-413e-87d7-9e28dc5021dd,pawhut-cat-litter-box-enclosure-with-barn-door-cat-hole-white,Hidden Cat Litter Box Enclosure – Furniture Style Cabinet with Barn Door,active,true,cat,Cat Litter Boxes,Pet Supplies > Cat Supplies > Litter Supplies > Litter Box Furniture,171.99,220.99,114.87,33.2,2008060661105070082,CJ Dropshipping,unknown,1,34,34,0,0,34,US,true,,13500,11,3630,85,A,true,pawhut cat litter box enclosure with barn door cat hole white,none-detected,32,0,0,0,5,15,10,9,10,9,8,7,5,3,3,84,UNUSABLE_SHIPPING_PROMISE|UNACCEPTABLE_MARGIN,1,CORE_CANDIDATE,"margin 33.2% (price 171.99, cost 114.87); stock us=34 eu=0 cn=0 effective=34; variant payload us=65 total=65; description 3630 chars, quality_score=85; 11 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: odor, litter, hide; differentiators: dual, hidden, furniture"
8f939226-08ce-46f9-af00-8f1b7910d8c5,adjustable-height-3-step-4-step-cat-stairs-with-cat-scratching-post-cat-condo-toy-ball-for-bed-sofa-," Adjustable Height 3 Step/4 Step Cat Stairs with Cat Scratching Post, Cat Condo, Toy Ball, for Bed, Sofa, Couch, Gray",active,true,cat,Cat Houses,Pet Supplies > Cat Supplies > Cat Furniture > Cat Stairs,125.99,161.99,71.97,42.9,2003456108033142785,CJ Dropshipping,unavailable,1,166,166,0,0,166,US,true,,7900,9,1565,86,C,true,adjustable height 3 step4 step cat stairs with cat scratching post cat condo toy ball for bed sofa couch gray,none-detected,17,0,0,0,8,15,10,9,7,9,8,7,5,3,3,84,UNUSABLE_SHIPPING_PROMISE,0,HERO_CANDIDATE,"margin 42.9% (price 125.99, cost 71.97); stock us=166 eu=0 cn=0 effective=166; variant payload us=23 total=23; description 1565 chars, quality_score=86; 9 gallery images + primary","no shipping window on record — conservative shipping score; problem signals: scratch, hide, joint; differentiators: furniture, sisal"
